0, 100.000000
1, 102.020134
2, 104.081077
3, 106.183655
4, 108.328707
5, 110.517092
6, 112.749685
7, 115.027380
8, 117.351087
9, 119.721736
10, 122.140276
11, 124.607673
12, 127.124915
13, 129.693009
14, 132.312981
15, 134.985881
16, 137.712776
17, 140.494759
18, 143.332941
19, 146.228459
20, 149.182470
21, 152.196156
22, 155.270722
23, 158.407398
24, 161.607440
25, 164.872127
26, 168.202765
27, 171.600686
28, 175.067250
29, 178.603843
30, 182.211880
31, 185.892804
32, 189.648088
33, 193.479233
34, 197.387773
35, 201.375271
36, 205.443321
37, 209.593551
38, 213.827622
39, 218.147227
40, 222.554093
41, 227.049984
42, 231.636698
43, 236.316069
44, 241.089971
45, 245.960311
46, 250.929039
47, 255.998142
48, 261.169647
49, 266.445624
50, 271.828183
51, 277.319476
52, 282.921701
53, 288.637099
54, 294.467955
55, 300.416602
56, 306.485420
57, 312.676837
58, 318.993328
59, 325.437420
60, 332.011692
61, 338.718773
62, 345.561346
63, 352.542149
64, 359.663973
65, 366.929667
66, 374.342138
67, 381.904351
68, 389.619330
69, 397.490163
70, 405.519997
71, 413.712044
72, 422.069582
73, 430.595953
74, 439.294568
75, 448.168907
76, 457.222520
77, 466.459027
78, 475.882125
79, 485.495581
80, 495.303242
81, 505.309032
82, 515.516951
83, 525.931084
84, 536.555597
85, 547.394739
86, 558.452846
87, 569.734342
88, 581.243739
89, 592.985642
90, 604.964746
91, 617.185845
92, 629.653826
93, 642.373677
94, 655.350486
95, 668.589444
96, 682.095847
97, 695.875097
98, 709.932707
99, 724.274299
